num, time, PAT, eSBP, eDBP, iSBP, iDBP
270,193972,191,124.054,49.0792,126.385,49.2702
271,194678,191,124.054,49.0792,129.781,50.8654
272,195385,184,134.501,51.8192,135.478,50.5691
273,196090,188,128.484,50.2409,129.029,49.1107
274,196793,195,118.255,47.5582,126.499,50.7742
275,197500,188,128.484,50.2409,130.988,52.0048
276,198215,183,136.026,52.2191,135.455,49.4753
277,198928,191,124.054,49.0792,127.98,48.3587
278,199643,194,119.694,47.9355,125.428,50.7059
279,200357,186,131.476,51.0258,130.601,50.2957
280,201082,183,136.026,52.2191,133.928,49.9083
281,201794,191,124.054,49.0792,126.818,48.108
282,202509,194,119.694,47.9355,124.38,51.7997
283,203232,184,134.501,51.8192,132.629,49.3614
284,203953,191,124.054,49.0792,127.707,53.6455
285,204673,197,115.4,46.8094,124.813,47.4927
286,205390,191,124.054,49.0792,131.33,51.3667
287,206110,195,118.255,47.5582,129.142,49.4069
288,206823,194,119.694,47.9355,124.562,48.541
289,207534,188,128.484,50.2409,128.732,50.6603
290,208251,188,128.484,50.2409,130.965,48.9512
291,208963,192,122.593,48.696,125.405,48.6549
292,209676,196,116.824,47.1828,125.747,48.7005
293,210394,185,132.984,51.4214,132.561,50.5919
294,211104,190,125.523,49.4644,126.362,49.2018
295,211815,190,125.523,49.4644,122.306,47.5611
296,212528,192,122.593,48.696,127.092,48.2447
297,213248,192,122.593,48.696,128.709,48.4498
298,213961,186,131.476,51.0258,129.439,49.3158
299,214673,181,139.101,53.0255,133.039,51.0933
300,215382,192,122.593,48.696,127.205,49.2474
301,216093,192,122.593,48.696,123.514,47.789
302,216803,185,132.984,51.4214,131.968,49.9766
303,217511,187,129.976,50.6323,130.373,49.2474
304,218220,191,124.054,49.0792,126.727,49.3842
305,218930,191,124.054,49.0792,127.684,50.9793
306,219646,181,139.101,53.0255,134.224,49.8171
307,220352,191,124.054,49.0792,128.163,48.6549
308,221059,192,122.593,48.696,125.929,50.4552
309,221767,188,128.484,50.2409,130.965,49.3386
310,222480,189,127,49.8517,130.897,49.1791
311,223192,192,122.593,48.696,126.271,48.541
312,223901,190,125.523,49.4644,126.385,51.9364
313,224616,181,139.101,53.0255,133.654,49.5665
314,225326,195,118.255,47.5582,127.205,48.222
315,226035,195,118.255,47.5582,124.722,49.6576
316,226736,191,124.054,49.0792,128.459,50.8654
317,227443,188,128.484,50.2409,133.153,49.9539
318,228147,189,127,49.8517,126.841,54.1697
319,228856,191,124.054,49.0792,124.334,47.675
320,229565,187,129.976,50.6323,130.533,50.9337
321,230282,187,129.976,50.6323,130.327,49.4297
322,230994,194,119.694,47.9355,125.086,48.5638
323,231712,192,122.593,48.696,127.274,49.0195
324,232441,184,134.501,51.8192,132.31,49.1335
325,233161,192,122.593,48.696,125.747,49.0423
326,233880,192,122.593,48.696,122.374,47.4244
327,234602,188,128.484,50.2409,127.183,47.9485
328,235323,193,121.14,48.3148,128.801,48.4954
329,236043,189,127,49.8517,127.957,48.1308
330,236764,183,136.026,52.2191,132.561,51.3211
331,237488,189,127,49.8517,127.752,49.0651
332,238208,193,121.14,48.3148,124.015,47.7206
333,238929,192,122.593,48.696,125.679,47.8573
334,239652,183,136.026,52.2191,132.47,49.7032
335,240372,188,128.484,50.2409,126.545,47.6067
336,241092,193,121.14,48.3148,124.061,48.3587
337,241813,188,128.484,50.2409,127.752,50.4324
338,242543,184,134.501,51.8192,132.948,48.9056
339,243268,194,119.694,47.9355,125.405,47.0826
340,243994,195,118.255,47.5582,122.557,51.2984
341,244725,185,132.984,51.4214,131.581,49.1107
342,245457,190,125.523,49.4644,126.864,47.789
343,246186,195,118.255,47.5582,123.514,50.6147
344,246913,191,124.054,49.0792,129.051,48.9968
345,247650,195,118.255,47.5582,129.53,48.5182
346,248378,196,116.824,47.1828,124.949,48.108
347,249105,193,121.14,48.3148,126.043,52.0731
348,249831,186,131.476,51.0258,132.105,54.2608
349,250565,191,124.054,49.0792,129.302,49.612
350,251293,193,121.14,48.3148,125.565,48.7917
351,252021,193,121.14,48.3148,127.069,48.7233
352,252759,182,137.559,52.6212,133.13,51.5946
353,253493,187,129.976,50.6323,127.502,49.3614
354,254228,194,119.694,47.9355,125.268,47.6067
355,254962,185,132.984,51.4214,131.672,50.8882
356,255696,190,125.523,49.4644,129.211,49.2018
357,256428,195,118.255,47.5582,125.679,47.8118
358,257155,188,128.484,50.2409,128.915,49.8399
359,257890,187,129.976,50.6323,132.948,49.293
360,258634,191,124.054,49.0792,125.177,48.7233
