num, time, PAT, eSBP, eDBP, tSBP, tDBP
434,372872,210,0,0,0,0
435,373824,210,0,0,0,0
436,374775,209,0,0,0,0
437,375713,211,0,0,0,0
438,376577,197,0,0,0,0
439,377445,199,0,0,0,0
440,378292,199,0,0,0,0
441,379165,199,0,0,0,0
442,380107,197,0,0,0,0
443,381090,209,0,0,0,0
444,382053,207,0,0,0,0
445,382985,207,0,0,0,0
446,383847,207,0,0,0,0
447,384698,207,0,0,0,0
448,385545,208,0,0,0,0
449,386400,208,0,0,0,0
450,387258,208,0,0,0,0
451,388121,211,0,0,0,0
452,388989,213,0,0,0,0
453,389841,212,0,0,0,0
454,390691,213,0,0,0,0
455,391518,213,0,0,0,0
456,392383,211,0,0,0,0
457,393282,210,0,0,0,0
458,394216,211,0,0,0,0
459,395114,210,0,0,0,0
460,395995,209,0,0,0,0
461,396921,208,0,0,0,0
462,397870,209,0,0,0,0
463,398774,209,0,0,0,0
464,399703,209,0,0,0,0
465,400642,209,0,0,0,0
466,401603,210,0,0,0,0
467,402558,209,0,0,0,0
468,403505,209,0,0,0,0
469,404423,209,0,0,0,0
470,405320,216,0,0,0,0
471,406143,217,0,0,0,0
472,406943,225,0,0,0,0
473,407468,226,0,0,0,0
474,409244,202,0,0,0,0
475,409897,192,0,0,0,0
476,410638,191,0,0,0,0
477,411182,231,0,0,0,0
478,412128,206,0,0,0,0
479,412853,225,0,0,0,0
480,413578,221,0,0,0,0
481,414301,213,0,0,0,0
482,415027,170,0,0,0,0
483,415753,193,0,0,0,0
484,416473,187,0,0,0,0
485,417190,193,0,0,0,0
486,417911,200,0,0,0,0
487,418643,191,0,0,0,0
488,419396,190,0,0,0,0
489,420148,193,0,0,0,0
490,420923,180,0,0,0,0
491,421721,179,0,0,0,0
492,422569,181,0,0,0,0
493,423407,188,0,0,0,0
494,424385,202,0,0,0,0
495,425300,215,0,0,0,0
496,426236,216,0,0,0,0
497,427150,217,0,0,0,0
498,428007,211,0,0,0,0
499,428802,200,0,0,0,0
500,429581,199,0,0,0,0
501,430336,197,0,0,0,0
502,431115,195,0,0,0,0
503,431935,195,0,0,0,0
504,432783,194,0,0,0,0
505,433644,192,0,0,0,0
506,434492,193,0,0,0,0
507,435304,194,0,0,0,0
508,435649,215,0,0,0,0
509,436083,269,0,0,0,0
510,436865,270,0,0,0,0
511,437666,266,0,0,0,0
512,438046,275,0,0,0,0
513,438355,288,0,0,0,0
514,439405,235,0,0,0,0
515,440304,240,0,0,0,0
516,441187,246,0,0,0,0
517,442072,307,0,0,0,0
518,442989,293,0,0,0,0
519,443809,294,0,0,0,0
520,444670,272,0,0,0,0
521,445519,270,0,0,0,0
522,446340,181,0,0,0,0
523,447149,179,0,0,0,0
524,447985,178,0,0,0,0
525,448843,201,0,0,0,0
526,449723,161,0,0,0,0
527,450575,157,0,0,0,0
528,451427,153,0,0,0,0
529,452294,106,0,0,0,0
530,453147,72,0,0,0,0
531,453984,94,0,0,0,0
532,454803,111,0,0,0,0
533,455593,132,0,0,0,0
534,456403,183,0,0,0,0
535,457252,212,0,0,0,0
536,458144,216,0,0,0,0
537,459037,217,0,0,0,0
538,459951,222,0,0,0,0
539,460847,222,0,0,0,0
540,461751,216,0,0,0,0
541,462643,231,0,0,0,0
542,463570,273,0,0,0,0
543,464474,286,0,0,0,0
544,465373,285,0,0,0,0
545,466255,291,0,0,0,0
546,467079,273,0,0,0,0
547,467889,221,0,0,0,0
548,468704,217,0,0,0,0
549,469530,215,0,0,0,0
550,470366,215,0,0,0,0
551,471213,217,0,0,0,0
552,472026,205,0,0,0,0
