num, time, PAT, eSBP, eDBP, tSBP, tDBP
354,259578,195,0,0,0,0
355,260305,204,0,0,0,0
356,261055,179,0,0,0,0
357,261825,266,0,0,0,0
358,262590,15,0,0,0,0
359,263313,250,0,0,0,0
360,264040,-1,0,0,0,0
361,264819,94,0,0,0,0
362,265632,-1,0,0,0,0
363,266446,348,0,0,0,0
364,267202,297,0,0,0,0
365,267942,-1,0,0,0,0
366,268686,195,0,0,0,0
367,269455,200,0,0,0,0
368,270232,196,0,0,0,0
369,271048,192,0,0,0,0
370,271894,217,0,0,0,0
371,272663,182,0,0,0,0
372,273426,259,0,0,0,0
373,274200,24,0,0,0,0
374,274980,-1,0,0,0,0
375,275711,198,0,0,0,0
376,276440,210,0,0,0,0
377,277197,206,0,0,0,0
378,278008,186,0,0,0,0
379,278841,217,0,0,0,0
380,279595,214,0,0,0,0
381,280396,183,0,0,0,0
382,281219,274,0,0,0,0
383,281975,227,0,0,0,0
384,282762,213,0,0,0,0
385,283572,215,0,0,0,0
386,284330,-1,0,0,0,0
